Accession_ENSEMBL,Rob_Transcript_Class,Symbol
ENSMUST00000030051.5,1,Txn1
ENSMUST00000019109.7,1,Ywhah
ENSMUST00000159786.6,1,Apbb2
ENSMUST00000080208.5,1,Epb4.1l3
ENSMUST00000114840.1,1,Thy1
ENSMUST00000114195.6,1,Jam2
ENSMUST00000081872.10,1,Nell1
ENSMUST00000018727.3,1,G3bp1
ENSMUST00000100024.1,1,Fgf12
ENSMUST00000033994.13,1,Rbpms
ENSMUST00000093002.10,1,Arhgap44
ENSMUST00000115477.6,1,Foxp2
ENSMUST00000098552.7,1,Tmod2
ENSMUST00000168423.6,1,Smad2
ENSMUST00000111089.6,1,Nefl
ENSMUST00000021466.8,1,Atl1
ENSMUST00000036796.7,1,Fstl4
ENSMUST00000129464.6,1,Bend6
ENSMUST00000109627.6,1,Cbx6
ENSMUST00000169003.6,1,Rbpms2
ENSMUST00000144331.6,2,Satb1
ENSMUST00000039534.9,2.1,Resp18
ENSMUST00000023826.4,2.1,Sncg
ENSMUST00000073892.4,2.1,Fxyd7
ENSMUST00000072299.5,2.1,Vsnl1
ENSMUST00000036439.4,2.1,Cdh6
ENSMUST00000023095.11,2.1,3-Sep
ENSMUST00000032738.5,2.1,Chrna7
ENSMUST00000156876.6,2.1,Mfsd6
ENSMUST00000029002.8,2.1,Stmn2
ENSMUST00000023259.13,2.1,Lynx1
ENSMUST00000031131.10,2.1,Uchl1
ENSMUST00000071135.5,2.1,Tubb4a
ENSMUST00000079463.9,2.1,Chrnb3
ENSMUST00000093369.4,2.1,Nefh
ENSMUST00000032710.5,2.1,Slc17a6
ENSMUST00000031003.9,2.1,Ppp2r2c
ENSMUST00000114430.6,2.1,L1cam
ENSMUST00000082365.5,2.1,Sult4a1
ENSMUST00000062024.2,2.1,Tusc5
ENSMUST00000102493.6,2.1,Coro6
ENSMUST00000122286.1,2.1,Nrn1
ENSMUST00000200911.2,3,Rgs6
ENSMUST00000009220.4,3,Zmat5
ENSMUST00000025679.9,3,Otub1
ENSMUST00000036884.1,3,Klf9
ENSMUST00000005067.5,3,Sgta
ENSMUST00000007708.12,3,Ppp2r1a
ENSMUST00000076046.6,3,Csf2ra
ENSMUST00000004327.9,3,G6pdx
ENSMUST00000037534.7,3,Rnf167
ENSMUST00000018186.14,3,Cyb5r3
ENSMUST00000023211.14,3,Sharpin
ENSMUST00000113654.6,3,Lrrc8a
ENSMUST00000170811.6,3,Rnf14
ENSMUST00000005975.6,3,Gpr108
ENSMUST00000113601.8,3,Ppp2r4
ENSMUST00000100375.9,3,Poldip3
ENSMUST00000070172.4,3,Snx32
ENSMUST00000160835.6,3,Tmem55b
ENSMUST00000034896.11,3,Mto1
ENSMUST00000061925.4,3,Plcxd3
ENSMUST00000093040.11,3,Rab4b
ENSMUST00000014750.13,3,Slc25a11
ENSMUST00000075954.7,3,Taf1b
ENSMUST00000032749.10,3,Vps33b
ENSMUST00000117095.6,3,Pld3
ENSMUST00000077456.11,3,Atxn7l1
ENSMUST00000114086.6,3,Klf7
ENSMUST00000023873.10,3,Prmt5
ENSMUST00000085851.10,3,Nfkbib
ENSMUST00000111325.3,3,Sdr39u1
ENSMUST00000025567.7,3,Fads2
ENSMUST00000108237.1,3,Yif1b
ENSMUST00000063663.5,3,B3gat2
ENSMUST00000038757.7,3,Csdc2
ENSMUST00000004910.10,3,Eif2b2
ENSMUST00000043914.5,3,Ints9
ENSMUST00000105307.6,3,Btbd11
ENSMUST00000126980.6,3,Btbd2
ENSMUST00000045918.13,3,Alg3
ENSMUST00000084493.6,3,Sfxn3
ENSMUST00000168755.5,3,Slc25a44
ENSMUST00000025805.6,3,Cnih2
ENSMUST00000043520.3,3,Fbxo25
ENSMUST00000057093.6,3,Nkrf
ENSMUST00000000384.6,3,Trappc10
ENSMUST00000044148.2,3,Alg2
ENSMUST00000079883.9,3,Scamp4
ENSMUST00000074248.9,3,Sh2d3c
ENSMUST00000038356.11,3,Ube2q1
ENSMUST00000074259.13,3,Nrm
ENSMUST00000089402.8,3,Porcn
ENSMUST00000048677.7,3,Tbc1d22b
ENSMUST00000179852.6,3,Tbc1d7
ENSMUST00000114730.6,3,Rbmx
ENSMUST00000003621.8,3,Dgcr14
ENSMUST00000103242.4,3,Tmem97
ENSMUST00000200558.3,3,Chrnb2
ENSMUST00000042288.6,3,Asb13
ENSMUST00000186213.5,3,Tuba4a
